x,y,tile_cbf_hz,tile_peak_amp,tile_var,tile_zcr,tile_cbp_sine_score,tile_cbp_amp,video,label,fps,class
32,32,2.08955223880597,63.18493066681461,0.8108926460128808,0.26,-0.473770785123676,0.9004957778984202,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
64,32,25.07462686567164,18.36852407104714,0.1905160749710437,0.59,-0.2633211918795527,0.4364814715094373,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
96,32,25.07462686567164,17.20897640292226,0.17552871417927995,0.55,-0.25364208782881853,0.4189614709961764,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
128,32,25.07462686567164,17.588483929863592,0.17902173542876446,0.5,-0.25246433318404915,0.4231096021467304,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
160,32,4.17910447761194,22.732831068975077,0.4054445778561507,0.36,0.16846805026871187,0.6367453006156785,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
192,32,3.2835820895522385,34.500584985778254,0.38580729620768384,0.32,0.3379159401446857,0.6211338794556966,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
224,32,3.880597014925373,25.397919160464234,0.3396442904190859,0.37,-0.3065183326125574,0.5827900912155988,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
256,32,25.07462686567164,19.15243432046407,0.23650676635219864,0.56,-0.2361559134062645,0.48631961337396074,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
288,32,2.6865671641791042,25.123413498390352,0.3352806830172889,0.48,0.17185789754517,0.5790342675673772,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
320,32,3.2835820895522385,45.35610286339867,0.9836083447741678,0.27,-0.04955600616459205,0.9917703084757921,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
352,32,2.6865671641791042,41.6264775036127,0.9459421770740798,0.275,0.06928187554674987,0.9725955876283214,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
384,32,2.388059701492537,127.3659722376576,2.8102286237951857,0.185,0.47760477661168393,1.6763736527979631,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
416,32,2.6865671641791042,63.8450623998262,1.0155636977075984,0.265,0.08927229303564355,1.007751803624086,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
448,32,2.6865671641791042,42.878240570396756,0.9379016242768021,0.265,-0.11105472051465991,0.968453212229069,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
480,32,2.388059701492537,96.89302239797223,1.2122728478517417,0.2,0.45347095443238666,1.1010326279687364,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
0,64,2.6865671641791042,63.736081892600836,2.128697913465277,0.21,0.2537272359950409,1.4590057962411518,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
32,64,2.9850746268656714,32.19916580629697,0.422260247928096,0.245,0.33525918371045144,0.6498155491584485,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
64,64,3.2835820895522385,15.326289152908549,0.12392358143600547,0.475,0.19135631517781285,0.35202781344093464,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
96,64,22.985074626865668,9.20524049555586,0.08965044061666537,0.505,0.21077963200306674,0.2994168342239049,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
128,64,2.08955223880597,10.572466615253033,0.11071615886221275,0.43,-0.21072021370720936,0.33274037756517133,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
160,64,2.08955223880597,32.35215846784693,0.29418665512747016,0.275,-0.10338025393959593,0.5423897631108742,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
192,64,2.9850746268656714,33.83255957019523,0.44194464311596326,0.285,0.3443565043896057,0.6647891719304424,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
224,64,3.880597014925373,20.326659160636346,0.21828540386625767,0.335,0.18418510040900202,0.4672102351899599,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
256,64,2.6865671641791042,26.612346534513623,0.2898351669450707,0.265,-0.013939736316986768,0.5383634153107645,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
288,64,2.6865671641791042,29.69714922618367,0.269375495453107,0.38,0.3652727363707309,0.5190139646031762,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
320,64,2.6865671641791042,75.16554588593009,0.8671837555292008,0.25,0.5658914402085413,0.931227016107888,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
352,64,2.6865671641791042,71.40969760522225,0.9629346025452259,0.255,0.40983372066835283,0.9812923124865628,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
384,64,2.388059701492537,83.47610388359541,1.6424270434987505,0.235,-0.45823425602705187,1.2815720984395496,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
416,64,2.388059701492537,63.807250030897634,0.785467043899699,0.265,0.23116938539785692,0.8862657862626194,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
448,64,2.388059701492537,29.743088640626382,0.2760137713356369,0.305,0.11349473546864426,0.5253701279437545,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
480,64,5.3731343283582085,44.564924228107984,0.8184463734588598,0.25,0.0923136970284214,0.9046802603455322,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
0,96,2.6865671641791042,52.52557748464812,0.5761847833267912,0.27,0.46203761128352827,0.7590683653840352,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
32,96,4.17910447761194,33.53146388073303,0.5860224418749143,0.235,0.09570351563764579,0.7655210264094084,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
64,96,2.6865671641791042,40.162040129814244,0.29409657978485493,0.215,-0.4751466735696994,0.5423067211319208,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
96,96,3.880597014925373,14.99429652594014,0.12288921651121514,0.36,0.3009019251664946,0.3505555826273704,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
128,96,2.9850746268656714,18.774831357911882,0.11095797075824244,0.315,0.23378843520883796,0.33310354359904737,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
160,96,2.9850746268656714,42.938064020851364,0.41654391284901565,0.17,0.466912414008772,0.645402132665376,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
192,96,2.9850746268656714,33.88239147608554,0.31249607120588174,0.28,0.40505649906712965,0.5590134803436154,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
224,96,2.388059701492537,31.630610768830184,0.18501160196366173,0.28,-0.08659804090365422,0.4301297501494889,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
256,96,2.388059701492537,37.24995787277943,0.2338384187902513,0.29,0.3401227721179953,0.4835684220358597,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
288,96,2.6865671641791042,75.10238951234923,0.6790811754410211,0.195,-0.6067943564223943,0.824063817577875,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
320,96,2.6865671641791042,35.351834898793186,0.24254091355294455,0.285,-0.1280596136393524,0.49248442975686507,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
352,96,2.6865671641791042,38.25417473873834,0.40223632574165996,0.18,0.4029480198730616,0.6342210385517497,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
384,96,2.6865671641791042,66.76554114827398,1.1933661734927705,0.205,-0.1555213862387027,1.0924130049998355,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
416,96,3.5820895522388057,30.883698751172517,0.34402942563311767,0.26,0.0165824004860754,0.5865402165522137,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
448,96,2.6865671641791042,33.06190323291454,0.28756744038668214,0.185,-0.3974961834852154,0.5362531495354429,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
480,96,2.08955223880597,75.61565748948667,1.701867680215919,0.17,0.13259286642050144,1.304556507099604,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
0,128,5.970149253731343,21.144876390372044,0.24359165701629798,0.35,0.30089042687327744,0.49355005522874573,inline-supplementary-material-7.avi,Healthy_top,60.0,Healthy
